reference_fiche,ndeg_de_version,nature_juridique_du_rappel,categorie_de_produit,sous_categorie_de_produit,nom_de_la_marque_du_produit,noms_des_modeles_ou_references,identification_des_produits,conditionnements,date_debut_fin_de_commercialisation,temperature_de_conservation,marque_de_salubrite,informations_complementaires,zone_geographique_de_vente,distributeurs,motif_du_rappel,risques_encourus_par_le_consommateur,preconisations_sanitaires,description_complementaire_du_risque,conduites_a_tenir_par_le_consommateur,numero_de_contact,modalites_de_compensation,date_de_fin_de_la_procedure_de_rappel,informations_complementaires_publiques,liens_vers_les_images,lien_vers_la_liste_des_produits,lien_vers_la_liste_des_distributeurs,lien_vers_affichette_pdf,lien_vers_la_fiche_rappel,rappelguid,group_key
2021-07-0905,2,Volontaire (sans arrêté préfectoral),Alimentation,Viandes,LES LEGENDAIRES,CASSOULET 840G,26021331 Toutes les DDM (servant de numéro de lot) du 20/02/2023 au 09/06/2024 Date de durabilité minimale entre le 20/02/2023 et le 09/06/2024,840G,Du 25/02/2020 au 12/08/2021,Produit à conserver à température ambiante,FR 22.225.001 CE,,France entière,ALDI,"Présence d'un résidu de pesticides, au-delà de la limite réglementaire.",Dépassement des limites autorisées de pesticides,,Utilisation d'une matière première présentant une teneur en oxyde d'éthylène supérieure à la limite réglementaire.,Ne plus consommer Rapporter le produit au point de vente,,Remboursement,jeudi 16 septembre 2021,,https://rappel.conso.gouv.fr/image/7d127254-cfc4-45a4-b44a-b685a1a9ff8f.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/3064/Interne,https://rappel.conso.gouv.fr/fiche-rappel/3064/Interne,042C5359-887E-4DB9-8AA1-9FB93DC77EE4,2021-08-12
2021-07-0906,2,Imposé par arrêté préfectoral,Alimentation,Viandes,LES LEGENDAIRES,CASSOULET 420G,26058849 Toutes les DDM (servant de numéro de lot) du 19/02/2023 au 04/06/2024 Date de durabilité minimale entre le 19/02/2023 et le 04/06/2024,420G,Du 24/02/2020 au 12/08/2021,Produit à conserver à température ambiante,FR 22.225.001 CE,,France entière,ALDI,"Présence d'un résidu de pesticides, au-delà de la limite réglementaire.",Dépassement des limites autorisées de pesticides,,Utilisation d'une matière première présentant une teneur en oxyde d'éthylène supérieure à la limite réglementaire.,Ne plus consommer Rapporter le produit au point de vente,,Remboursement,jeudi 16 septembre 2021,,https://rappel.conso.gouv.fr/image/b3cb9f70-b166-4f1c-8181-d6669eaa91cd.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/3065/Interne,https://rappel.conso.gouv.fr/fiche-rappel/3065/Interne,76B9EDCD-C9A0-4F20-9477-64DD6B1A17B2,2021-08-30
2021-08-0452,1,Volontaire (sans arrêté préfectoral),Alimentation,Lait et produits laitiers,PILPA,Bâtonnets vanille/lait/amandes x4,3760234440153 LPL1085 Date de durabilité minimale 31/03/2023 3760234440153 LPL1111 Date de durabilité minimale 30/04/2023,4 bâtonnets vanille/lait/amandes,Du 19/04/2021 au 09/08/2021,Produit à conserver au congélateur,,,ADOR Nîmes,ADOR Nîmes,"écomiam procède au rappel de certains lot de produits suite à la découverte d'oxyde d'éthylène, au-delà de la limite réglementaire, dans les gommes gélifiantes entrant dans la composition de ces glaces.",Autres contaminants chimiques,,Présence d'un résidu d'oxyde d'éthylène supérieur à la limite autorisée par la réglementation européenne dans le produit fini.,Ne plus consommer Rapporter le produit au point de vente Détruire le produit,257680620,Remboursement,mercredi 13 octobre 2021,"Pour toute question, vous pouvez contacter ce n° de téléphone: 02.57.68.06.20 (du lundi au vendredi de 9h00 à 17h00).",https://rappel.conso.gouv.fr/image/873ac9f5-394b-44cb-87f4-f1f89f7ec8e9.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/3091/Interne,https://rappel.conso.gouv.fr/fiche-rappel/3091/Interne,EE95F437-B605-4601-A43F-47FAA2540423,2021-08-16
2021-08-0453,1,Volontaire (sans arrêté préfectoral),Alimentation,Lait et produits laitiers,PILPA,Mini bâtonnets assortis x8,3274664088002 LPL1089 Date de durabilité minimale 31/03/2023 3274664088002 LPL1114 Date de durabilité minimale 30/04/2023,8 mini bâtonnets assortis vanille enrobage chocolat noir / vanille enrobage chocolat blanc / vanille enrobage chocolat au lait /vanille enrobage chocolat au lait et amandes grillées hachées,Du 05/05/2021 au 09/08/2021,Produit à conserver au congélateur,,,ADOR Nîmes,ADOR Nîmes,"écomiam procède au rappel de certains lot de produits suite à la découverte d'oxyde d'éthylène, au-delà de la limite réglementaire, dans les gommes gélifiantes entrant dans la composition de ces glaces.",Autres contaminants chimiques,,Présence d'un résidu d'oxyde d'éthylène supérieur à la limite autorisée par la réglementation européenne dans le produit fini.,Ne plus consommer Rapporter le produit au point de vente Détruire le produit,257680620,Remboursement,samedi 9 octobre 2021,"Pour toute question, vous pouvez contacter ce n° de téléphone: 02.57.68.06.20 (du lundi au vendredi de 9h00 à 17h00).",https://rappel.conso.gouv.fr/image/0c239263-05e3-4e6c-ac0a-1ed86f1d2f30.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/3092/Interne,https://rappel.conso.gouv.fr/fiche-rappel/3092/Interne,0B8DDDA5-4551-40C7-99E7-B4E3C42F49D3,2021-08-16
2021-08-0454,1,Volontaire (sans arrêté préfectoral),Alimentation,Lait et produits laitiers,sans marque,Cônes CROUSTY chocolat noisette x6,3274664191450 LVA1053 Date de durabilité minimale 28/02/2023,Cônes chocolat noisettes x6,Du 05/05/2021 au 09/08/2021,Produit à conserver au congélateur,,,ADOR Nîmes,ADOR Nîmes,"écomiam procède au rappel de certains lot de produits suite à la découverte d'oxyde d'éthylène, au-delà de la limite réglementaire, dans les gommes gélifiantes entrant dans la composition de ces glaces.",Autres contaminants chimiques,,Présence d'un résidu d'oxyde d'éthylène supérieur à la limite autorisée par la réglementation européenne dans le produit fini.,Ne plus consommer Rapporter le produit au point de vente Détruire le produit,257680620,Remboursement,samedi 9 octobre 2021,"Pour toute question, vous pouvez contacter ce n° de téléphone: 02.57.68.06.20 (du lundi au vendredi de 9h00 à 17h00).",https://rappel.conso.gouv.fr/image/ab9c591c-5073-46d4-bd1d-b72074d1365f.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/3093/Interne,https://rappel.conso.gouv.fr/fiche-rappel/3093/Interne,514ECCA3-EB7B-4129-90BF-F5F5225F0240,2021-08-16
2021-08-0467,1,Imposé par arrêté préfectoral,Alimentation,Lait et produits laitiers,Milka,pot Milka vanille chocolat,"4007993031192 LOS1090 Date de durabilité minimale 30/09/2022 4007993031192 LOS1118 , LOS1119 Date de durabilité minimale 31/10/2022 4007993031192 LOS1133 , LOS1134 Date de durabilité minimale 30/11/2022",pot de glace vanille chocolat,Du 26/05/2021 au 16/08/2021,Produit à conserver au congélateur,,pot Milka vanille chocolat,France entière,LIDL,"La société Froneri procède au rappel de certains lots de produits, suite à la découverte d'oxyde d'éthylène, au-delà de la limite réglementaire, dans des gommes gélifiantes entrant dans la composition.",Autres contaminants chimiques,,Présence d'un taux d'oxyde d'éthylène supérieur aux limites maximales règlementaires dans une matière première entrant dans la composition.,Ne plus consommer Rapporter le produit au point de vente Détruire le produit,,Remboursement,samedi 16 octobre 2021,Pour toute questions vous pouvez contacter ce n° de telephone dédié : 09.74.36.15.77,https://rappel.conso.gouv.fr/image/fcbc9fae-5732-4b01-9e5e-438e99d95125.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/3106/Interne,https://rappel.conso.gouv.fr/fiche-rappel/3106/Interne,8DDBBC3E-5F31-4969-AEF4-117BB4D0D3E9,2021-08-16
2021-08-0469,1,Imposé par arrêté préfectoral,Alimentation,Lait et produits laitiers,EXTREME ®,"EXTREME  8 Mini Fraise Pistache ,  EXTREME 8 Mini  Vanille et Chocolat , EXTREME 8 Mini Sundae  Chocolat et Caramel  EXTREME 8 Mini Vanille",voir liste des produits en pièce jointe,"EXTREME  8 Mini Fraise Pistache ,  EXTREME 8 Mini  Vanille et Chocolat , EXTREME 8 Mini Sundae  Chocolat et Caramel  EXTREME 8 Mini Vanille",Du 18/10/2019 au 16/08/2021,Produit à conserver au congélateur,,"EXTREME  8 Mini Fraise Pistache ,  EXTREME 8 Mini  Vanille et Chocolat , EXTREME 8 Mini Sundae  Chocolat et Caramel  EXTREME 8 Mini Vanille",France entière,"AUCHAN,BAUD REGION, CARREFOUR,CASINO,CORA REGION,DIVERS CLIENTS CORSE,EURELEC,EXPORT TG,INTERMARCHE,MATCH FRANCE REGION,SCHIEVER, SYSTEME U REGION","La société Froneri procède au rappel de certains lots de produits, suite à la découverte d'oxyde d'éthylène , au-delà de la limite réglementaire, dans des gommes gélifiantes entrant dans la composition",Autres contaminants chimiques,,Présence d'un taux d'oxyde d'éthylène supérieur aux limites maximales règlementaires dans une matière première entrant dans la composition.,Ne plus consommer Rapporter le produit au point de vente Détruire le produit,,Remboursement,samedi 16 octobre 2021,Pour toute questions vous pouvez contacter ce n° de telephone dédié : 09.74.36.15.77,https://rappel.conso.gouv.fr/image/190257e5-11a5-43f5-b42c-32ba437562d2.jpg https://rappel.conso.gouv.fr/image/a9c207eb-5998-4664-b6f9-4197e1b73bd8.jpg https://rappel.conso.gouv.fr/image/681ff5f8-9b7d-407a-a054-fc74656ed46d.jpg https://rappel.conso.gouv.fr/image/64c71938-2f1a-40ef-9f93-a827426edc69.jpg,https://rappel.conso.gouv.fr/document/079c3ed0-3550-4ea9-99a3-14f50c88b229/Interne/ListeDesProduits,,https://rappel.conso.gouv.fr/affichettePDF/3108/Interne,https://rappel.conso.gouv.fr/fiche-rappel/3108/Interne,33FD9BC8-6004-4E7B-8DF8-D34213975928,2021-08-16
2021-08-0470,1,Imposé par arrêté préfectoral,Alimentation,Lait et produits laitiers,Nuii,"4 batonnets beurre de cacahuete et sirop d'érable   4 batonnets café chocolat noir et noisettes salées 4 batonnets caramel chocolat blanc texan  pecan  4 batonnets mangue et noix de coco, chocolat blanc",voir liste des produits en pièce jointe,Boîte de 4 bâtonnets,Du 31/12/2019 au 16/08/2021,Produit à conserver au congélateur,,"4 batonnets beurre de cacahuete et sirop d'érable   4 batonnets café chocolat noir et noisettes salées 4 batonnets caramel chocolat blanc texan  pecan  4 batonnets mangue et noix de coco, chocolat blanc",France entière,BAUD   CARREFOUR  CASINO  CORA   CROQUE GEL  DIVERS CLIENTS CORSE  EURELEC  EXPORT TG  AUCHAN  GPS UNISSON  INDEPENDANTS  INTERMARCHE  MATCH   METRO   MONOPRIX   SCHIEVER  SYSTEME U,"La société Froneri procède au rappel de certains lots de produits, suite à la découverte d'oxyde d'éthylène, au-delà de la limite réglementaire, dans des gommes gélifiantes entrant dans la composition.",Autres contaminants chimiques,,Présence d'un taux d'oxyde d'éthylène supérieur aux limites maximales règlementaires dans une matière première entrant dans la composition.,Ne plus consommer Rapporter le produit au point de vente Détruire le produit,,Remboursement,samedi 16 octobre 2021,Pour toute questions vous pouvez contacter ce n° de telephone dédié : 09.74.36.15.77,https://rappel.conso.gouv.fr/image/db2e4a79-e2c7-4ddc-894a-a254ed00027a.jpg https://rappel.conso.gouv.fr/image/9a99de07-bcbb-4fce-8b21-762de30a4c55.jpg https://rappel.conso.gouv.fr/image/569c4812-7157-4eac-a414-b168b6d1b275.jpg https://rappel.conso.gouv.fr/image/1c4aa479-b872-4961-9014-ae49c05fddb3.jpg,https://rappel.conso.gouv.fr/document/e6c0fd4f-ee40-4834-ab34-5ff733eef5ce/Interne/ListeDesProduits,,https://rappel.conso.gouv.fr/affichettePDF/3109/Interne,https://rappel.conso.gouv.fr/fiche-rappel/3109/Interne,A9A48876-743A-4B8B-A077-54B5E330AB58,2021-08-16
2021-08-0471,1,Imposé par arrêté préfectoral,Alimentation,Lait et produits laitiers,Nuii,"6 mini batonnets vanille de java   6 mini batonnets caramel salé, macadamia    6 mini batonnets assortis, vanille java, australian macadamia, nordic berry   6 mini batonnet assorti, vanille java, scandinavian cranberry, texan pecan",voir liste des produits en pièce jointe,Boîte de 6 mini bâtonnets,Du 11/02/2020 au 16/08/2021,Produit à conserver au congélateur,,"6 mini batonnets vanille de java   6 mini batonnets caramel salé, macadamia    6 mini batonnets assortis, vanille java, australian macadamia, nordic berry   6 mini batonnet assorti, vanille java, scandinavian cranberry, texan pecan",France entière,BAUD   CARREFOUR  CASINO  CORA   CROQUE GEL  DIVERS CLIENTS CORSE  EURELEC  EXPORT TG  AUCHAN  GPS UNISSON  INDEPENDANTS  MATCH   MONOPRIX   SCHIEVER  SYSTEME U,"La société Froneri procède au rappel de certains lots de produits, suite à la découverte d'oxyde d'éthylène, au-delà de la limite réglementaire, dans des gommes gélifiantes entrant dans la composition.",Autres contaminants chimiques,,Présence d'un taux d'oxyde d'éthylène supérieur aux limites maximales règlementaires dans une matière première entrant dans la composition.,Ne plus consommer Rapporter le produit au point de vente Détruire le produit,,Remboursement,samedi 16 octobre 2021,Pour toute questions vous pouvez contacter ce n° de telephone dédié : 09.74.36.15.77,https://rappel.conso.gouv.fr/image/86064377-6736-4a67-9018-512cdbe3d1da.jpg https://rappel.conso.gouv.fr/image/54c860a4-b534-493d-90d4-0f2780ba121a.jpg https://rappel.conso.gouv.fr/image/89199b2e-a8e9-4b46-b2e5-585e980fba26.jpg https://rappel.conso.gouv.fr/image/d7f53d0b-e970-444f-9d88-efa08f0cc826.jpg,https://rappel.conso.gouv.fr/document/70d64f18-b075-457d-a6de-50bccf52f676/Interne/ListeDesProduits,,https://rappel.conso.gouv.fr/affichettePDF/3110/Interne,https://rappel.conso.gouv.fr/fiche-rappel/3110/Interne,ACF1860E-A36A-4446-BAED-10FEE7441F0F,2021-08-16
2021-08-0472,1,Imposé par arrêté préfectoral,Alimentation,Lait et produits laitiers,Nuii,4 batonnets menthe cookies   4 batonnets caramel salé australian macadamia   4 batonnets vanille de java amande   4 batonnets chocolat blanc scandinavian cranberries .,voir liste des produits en pièce jointe,Boîte de 4 bâtonnets,Du 31/12/2019 au 16/08/2021,Produit à conserver au congélateur,,4 batonnets menthe cookies   4 batonnets caramel salé australian macadamia   4 batonnets vanille de java amande   4 batonnets chocolat blanc scandinavian cranberries .,France entière,BAUD   CARREFOUR  CASINO  CORA   CROQUE GEL  DIVERS CLIENTS CORSE  EURELEC  EXPORT TG  AUCHAN  GPS UNISSON  INDEPENDANTS  INTERMARCHE  MATCH   METRO   MONOPRIX   SCHIEVER  SYSTEME U,"La société Froneri procède au rappel de certains lots de produits, suite à la découverte d'oxyde d'éthylène, au-delà de la limite réglementaire, dans des gommes gélifiantes entrant dans la composition.",Autres contaminants chimiques,,Présence d'un taux d'oxyde d'éthylène supérieur aux limites maximales règlementaires dans une matière première entrant dans la composition.,Ne plus consommer Rapporter le produit au point de vente Détruire le produit,,Remboursement,samedi 16 octobre 2021,Pour toute questions vous pouvez contacter ce n° de telephone dédié : 09.74.36.15.77,https://rappel.conso.gouv.fr/image/02d624cc-9ccc-4152-a51e-3b581c0508d5.jpg https://rappel.conso.gouv.fr/image/b12231a1-7e6e-423b-b864-2ee6694eea45.jpg https://rappel.conso.gouv.fr/image/f9efa1af-c0fb-4c80-89d1-b4dec904c8b1.jpg https://rappel.conso.gouv.fr/image/4766bb1e-25da-45d9-b9e3-2e5e101c5900.jpg,https://rappel.conso.gouv.fr/document/b7f8b096-f727-4a13-bc33-ec8c24988d39/Interne/ListeDesProduits,,https://rappel.conso.gouv.fr/affichettePDF/3111/Interne,https://rappel.conso.gouv.fr/fiche-rappel/3111/Interne,19F05BB3-D457-49D8-A4A5-760E469EE2D9,2021-08-16
2021-08-0473,1,Imposé par arrêté préfectoral,Alimentation,Lait et produits laitiers,SMARTIES ®,"SMARTIES® CUPS X 6 , NESTLE®",voir liste des produits en pièce jointe,boite de SMARTIES ®CUPS X 6,Du 15/03/2021 au 16/08/2021,Produit à conserver au congélateur,,SMARTIES ®CUPS X 6,France entière,CARREFOUR   CASINO  CEGES BELGIQUE  CORA REGION  DIVERS CLIENTS CORSE  EURELEC  EXPORT TG  AUCHAN  GPS UNISSON  INTERMARCHE  SCHIEVER  SYSTEME U,"La société Froneri procède au rappel de certains lots de produits, suite à la découverte d'oxyde d'éthylène , au-delà de la limite réglementaire, dans des gommes gélifiantes entrant dans la composition",Autres contaminants chimiques,,Présence d'un résidu d'oxyde d'éthylène au-delà de la limite réglementaire sur le stabilisant végétal entrant dans la composition du produit.,Ne plus consommer Rapporter le produit au point de vente Détruire le produit,,Remboursement,samedi 16 octobre 2021,Pour toute questions vous pouvez contacter ce n° de telephone dédié : 09.74.36.15.77,https://rappel.conso.gouv.fr/image/d03a01a0-1424-4776-8577-3c19503e51b6.jpg,https://rappel.conso.gouv.fr/document/d8459020-ad1c-4cde-b58b-a73e41a096e6/Interne/ListeDesProduits,,https://rappel.conso.gouv.fr/affichettePDF/3112/Interne,https://rappel.conso.gouv.fr/fiche-rappel/3112/Interne,42D4D80D-9699-4ACC-92C0-8D7580A40777,2021-08-16
2021-08-0474,1,Imposé par arrêté préfectoral,Alimentation,Lait et produits laitiers,SMARTIES ®,SMARTIES ® FUN CONES  X 8,voir liste des produits en pièce jointe,boite de SMARTIES ® FUN CONES  X 8,Du 06/11/2020 au 16/08/2021,Produit à conserver au congélateur,,SMARTIES ® FUN CONES  X 8,France entière,CARREFOUR  CASINO  CEGES BELGIQUE  CORA  EURELEC  EXPORT TG  GPS UNISSON  INDEPENDANTS  INTERMARCHE  PICARD  SYSTEME U,"La société Froneri procède au rappel de certains lots de produits, suite à la découverte d'oxyde d'éthylène , au-delà de la limite réglementaire, dans des gommes gélifiantes entrant dans la composition",Autres contaminants chimiques,,Présence d'un résidu d'oxyde d'éthylène au-delà de la limite réglementaire sur le stabilisant végétal entrant dans la composition du produit.,Ne plus consommer Rapporter le produit au point de vente Détruire le produit,,Remboursement,samedi 16 octobre 2021,Pour toute questions vous pouvez contacter ce n° de telephone dédié : 09.74.36.15.77,https://rappel.conso.gouv.fr/image/239ac3af-fd1f-48ab-9fd7-6beb7f79d1f1.jpg,https://rappel.conso.gouv.fr/document/285ab9d7-06fe-48e6-b55c-fdd0f7fbac10/Interne/ListeDesProduits,,https://rappel.conso.gouv.fr/affichettePDF/3113/Interne,https://rappel.conso.gouv.fr/fiche-rappel/3113/Interne,BECDFE9E-F763-4A97-BB8E-EE2012B8A20F,2021-08-16
2021-08-0480,1,Volontaire (sans arrêté préfectoral),Alimentation,Lait et produits laitiers,La Glacerie,Glace vanille des meilleures gousses,210511R493-1-1-13Q 210618R493-1-1-13Q 210521R493-1-1-13Q Date de durabilité minimale 11/05/2023,Tubes glacés de 560 ml,Du 12/05/2021 au 13/08/2021,Produit à conserver au congélateur,,,France entière,La Glacerie,"La société La Glacerie procède au rappel de certains lots de produits, suite à la découverte d'oxyde d'éthylène, au-delà de la limite règlementation, dans des gommes gélifiantes entrant dans la composition.",Autres contaminants chimiques Intoxication,,Présence d'un taux d'oxyde d'éthylène supérieur aux limites maximales réglementaires dans une matière première entrant dans la composition.,Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente,320194149,Remboursement Echange,jeudi 30 septembre 2021,,https://rappel.conso.gouv.fr/image/18f3e197-9b4e-4ae5-a1ef-1ab80654b379.jpg https://rappel.conso.gouv.fr/image/af55a75a-80c4-452d-afb9-f8a43b53731f.jpg,,https://rappel.conso.gouv.fr/document/8f5d1b0d-b469-421b-9e88-eb9256184c24/Interne/ListeDesDistributeurs,https://rappel.conso.gouv.fr/affichettePDF/3119/Interne,https://rappel.conso.gouv.fr/fiche-rappel/3119/Interne,C4D82AA9-D28A-4998-BB09-CE4A7B456873,2021-08-17
2021-08-0481,1,Volontaire (sans arrêté préfectoral),Alimentation,Lait et produits laitiers,La Glacerie,Glace Chocolat noisette,210514R653-1-1-13Q Date de durabilité minimale 14/05/2023,Tubes glacés de 560 ml,Du 12/05/2021 au 13/08/2021,Produit à conserver au congélateur,,,France entière,La Glacerie,"La société La Glacerie procède au rappel de certains lots de produits, suite à la découverte d'oxyde d'éthylène, au-delà de la limite règlementation, dans des gommes gélifiantes entrant dans la composition.",Autres contaminants chimiques Intoxication,,Présence d'un taux d'oxyde d'éthylène supérieur aux limites maximales réglementaires dans une matière première entrant dans la composition.,Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente,320194149,Remboursement Echange,jeudi 30 septembre 2021,,https://rappel.conso.gouv.fr/image/6119604a-f46b-4ed3-969d-24d90d1abbb0.jpg https://rappel.conso.gouv.fr/image/d9598cce-750e-4c97-ae59-13fd214750f6.jpg,https://rappel.conso.gouv.fr/document/117f5c4a-a983-4b13-8fba-37cc33e5def6/Interne/ListeDesProduits,https://rappel.conso.gouv.fr/document/ac79180e-6d7e-42fa-887a-3bf8d827cbe3/Interne/ListeDesDistributeurs,https://rappel.conso.gouv.fr/affichettePDF/3120/Interne,https://rappel.conso.gouv.fr/fiche-rappel/3120/Interne,0DD8EB23-3856-42DC-8931-DC7254EC5514,2021-08-17
2021-08-0482,1,Volontaire (sans arrêté préfectoral),Alimentation,Lait et produits laitiers,La Glacerie,Glace Pistache de Sicile,210528R496-1-1-13Q Date de durabilité minimale 28/05/2022,Tubes glacés de 560 ml,Du 12/05/2021 au 13/08/2021,Produit à conserver au congélateur,,,France entière,La Glacerie,"La société La Glacerie procède au rappel de certains lots de produits, suite à la découverte d'oxyde d'éthylène, au-delà de la limite règlementation, dans des gommes gélifiantes entrant dans la composition.",Autres contaminants chimiques Intoxication,,Présence d'un taux d'oxyde d'éthylène supérieur aux limites maximales réglementaires dans une matière première entrant dans la composition.,Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente,320194149,Remboursement Echange,jeudi 30 septembre 2021,,https://rappel.conso.gouv.fr/image/7325b150-a9f2-4b97-8e3b-73e7e478416c.jpg https://rappel.conso.gouv.fr/image/1cf55375-7470-4b13-9d7f-cd3bdd4b0295.jpg,,https://rappel.conso.gouv.fr/document/a515f968-0185-4d44-8f61-7aaa2772a046/Interne/ListeDesDistributeurs,https://rappel.conso.gouv.fr/affichettePDF/3121/Interne,https://rappel.conso.gouv.fr/fiche-rappel/3121/Interne,693BC03E-7D82-4F07-B4F8-E7A85B8A1E68,2021-08-17
2021-08-0483,1,Volontaire (sans arrêté préfectoral),Alimentation,Lait et produits laitiers,La Glacerie,Sorbet Muroise,210512R583-1-1-13Q Date de durabilité minimale 12/05/2023,Tubes glacés de 560 ml,Du 12/05/2021 au 13/08/2021,Produit à conserver au congélateur,,,France entière,La Glacerie,"La société La Glacerie procède au rappel de certains lots de produits, suite à la découverte d'oxyde d'éthylène, au-delà de la limite règlementation, dans des gommes gélifiantes entrant dans la composition.",Autres contaminants chimiques Intoxication,,Présence d'un taux d'oxyde d'éthylène supérieur aux limites maximales réglementaires dans une matière première entrant dans la composition.,Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente,320194149,Remboursement Echange,jeudi 30 septembre 2021,,https://rappel.conso.gouv.fr/image/8406fb52-25cc-44a7-ae9b-d8b7c4da5f6d.jpg https://rappel.conso.gouv.fr/image/c2e510ab-1691-4fc6-9f52-cb7ea0f3a33a.jpg,,https://rappel.conso.gouv.fr/document/6c6e1acb-3b4f-4d9e-9c57-d3eb886e6e40/Interne/ListeDesDistributeurs,https://rappel.conso.gouv.fr/affichettePDF/3122/Interne,https://rappel.conso.gouv.fr/fiche-rappel/3122/Interne,6A8FD446-FF68-488A-8E31-14CC87600B62,2021-08-17
2021-08-0484,1,Volontaire (sans arrêté préfectoral),Alimentation,Lait et produits laitiers,La Glacerie,Sorbet Ananas,210517R260-1-1-13Q Date de durabilité minimale 17/05/2023,Tubes glacés de 560 ml,Du 12/05/2021 au 13/08/2021,Produit à conserver au congélateur,,,France entière,La Glacerie,"La société La Glacerie procède au rappel de certains lots de produits, suite à la découverte d'oxyde d'éthylène, au-delà de la limite règlementation, dans des gommes gélifiantes entrant dans la composition.",Autres contaminants chimiques Intoxication,,Présence d'un taux d'oxyde d'éthylène supérieur aux limites maximales réglementaires dans une matière première entrant dans la composition.,Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente,320194149,Remboursement Echange,jeudi 30 septembre 2021,,https://rappel.conso.gouv.fr/image/43e7803e-c1df-4ece-86c0-ad94fd77eebc.jpg https://rappel.conso.gouv.fr/image/408d170d-2bd9-4b66-b903-95b94dbfde75.jpg,,https://rappel.conso.gouv.fr/document/cc5bec5c-a9e1-4fb8-9e80-fa382a9aa3bc/Interne/ListeDesDistributeurs,https://rappel.conso.gouv.fr/affichettePDF/3123/Interne,https://rappel.conso.gouv.fr/fiche-rappel/3123/Interne,13213F0F-CB79-4965-AB76-99EAA0257246,2021-08-17
2021-08-0485,1,Volontaire (sans arrêté préfectoral),Alimentation,Lait et produits laitiers,La Glacerie,Sorbet Framboise,210512R251-1-1-13Q Date de durabilité minimale 12/05/2023,Tubes glacés de 560 ml,Du 12/05/2021 au 13/08/2021,Produit à conserver au congélateur,,,France entière,La Glacerie,"La société La Glacerie procède au rappel de certains lots de produits, suite à la découverte d'oxyde d'éthylène, au-delà de la limite règlementation, dans des gommes gélifiantes entrant dans la composition.",Autres contaminants chimiques Intoxication,,Présence d'un taux d'oxyde d'éthylène supérieur aux limites maximales réglementaires dans une matière première entrant dans la composition.,Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente,320194149,Remboursement Echange,jeudi 30 septembre 2021,,https://rappel.conso.gouv.fr/image/a7f5faf2-4cbc-4897-8a87-dd5d2e580c32.jpg https://rappel.conso.gouv.fr/image/27250948-2f85-4964-920e-a67da58f9488.jpg,,https://rappel.conso.gouv.fr/document/e6bf2810-d785-4300-8fea-00d1d6611fb5/Interne/ListeDesDistributeurs,https://rappel.conso.gouv.fr/affichettePDF/3124/Interne,https://rappel.conso.gouv.fr/fiche-rappel/3124/Interne,A8056D7B-9F81-4A63-AB99-DB6F7F522933,2021-08-17
2021-08-0486,1,Volontaire (sans arrêté préfectoral),Alimentation,Lait et produits laitiers,La Glacerie,Sorbet Abricot,210520R246-1-1-13Q Date de durabilité minimale 20/05/2023,Tubes glacés de 560 ml,Du 12/05/2021 au 13/08/2021,Produit à conserver au congélateur,,,France entière,La Glacerie,"La société La Glacerie procède au rappel de certains lots de produits, suite à la découverte d'oxyde d'éthylène, au-delà de la limite règlementation, dans des gommes gélifiantes entrant dans la composition.",Autres contaminants chimiques Intoxication,,Présence d'un taux d'oxyde d'éthylène supérieur aux limites maximales réglementaires dans une matière première entrant dans la composition.,Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente,320194149,Remboursement Echange,jeudi 30 septembre 2021,,https://rappel.conso.gouv.fr/image/d0562356-db80-446c-965d-9d7cc49535b0.jpg https://rappel.conso.gouv.fr/image/a3e87e2c-e870-4310-9a32-89052080d825.jpg,,https://rappel.conso.gouv.fr/document/b2e7ebeb-2827-49f0-a877-ba447a613b95/Interne/ListeDesDistributeurs,https://rappel.conso.gouv.fr/affichettePDF/3125/Interne,https://rappel.conso.gouv.fr/fiche-rappel/3125/Interne,06F64C80-740E-4F3F-9963-1B3C8BAED4BF,2021-08-17
